Age,Year,W,Rate
age04,1993,12000,0.12
age04,1994,12000,0.12
age04,1995,12000,0.12
age04,1996,12000,0.12
age04,1997,12000,0.12
age04,1998,12000,0.12
age04,1999,12000,0.12
age04,2000,12000,0.12
age04,2001,12000,0.12
age04,2002,12000,0.12
age04,2003,12000,0.12
age04,2004,12000,0.12
age04,2005,12000,0.12
age04,2006,12000,0.12
age04,2007,12000,0.12
age04,2008,12000,0.12
age04,2009,12000,0.12
age04,2010,12000,0.12
age04,2011,12000,0.12
age04,2012,12000,0.12
age04,2013,12000,0.12
age04,2014,12000,0.12
age04,2015,12000,0.12
age04,2016,12000,0.12
age04,2017,12000,0.12
age04,2018,12000,0.12
age59,1993,10000,0.1
age59,1994,10000,0.1
age59,1995,10000,0.1
age59,1996,10000,0.1
age59,1997,10000,0.1
age59,1998,10000,0.1
age59,1999,10000,0.1
age59,2000,10000,0.1
age59,2001,10000,0.1
age59,2002,10000,0.1
age59,2003,10000,0.1
age59,2004,10000,0.1
age59,2005,10000,0.1
age59,2006,10000,0.1
age59,2007,10000,0.1
age59,2008,10000,0.1
age59,2009,10000,0.1
age59,2010,10000,0.1
age59,2011,10000,0.1
age59,2012,10000,0.1
age59,2013,10000,0.1
age59,2014,10000,0.1
age59,2015,10000,0.1
age59,2016,10000,0.1
age59,2017,10000,0.1
age59,2018,10000,0.1
age1014,1993,9000,0.09
age1014,1994,9000,0.09
age1014,1995,9000,0.09
age1014,1996,9000,0.09
age1014,1997,9000,0.09
age1014,1998,9000,0.09
age1014,1999,9000,0.09
age1014,2000,9000,0.09
age1014,2001,9000,0.09
age1014,2002,9000,0.09
age1014,2003,9000,0.09
age1014,2004,9000,0.09
age1014,2005,9000,0.09
age1014,2006,9000,0.09
age1014,2007,9000,0.09
age1014,2008,9000,0.09
age1014,2009,9000,0.09
age1014,2010,9000,0.09
age1014,2011,9000,0.09
age1014,2012,9000,0.09
age1014,2013,9000,0.09
age1014,2014,9000,0.09
age1014,2015,9000,0.09
age1014,2016,9000,0.09
age1014,2017,9000,0.09
age1014,2018,9000,0.09
age1519,1993,9000,0.09
age1519,1994,9000,0.09
