Sex,Age,Year,Incidence,Population,Mortality
fem,0 — 4,1993,0,4534755,0
fem,0 — 4,1994,0,4147028,0
fem,0 — 4,1995,0,3839139,0
fem,0 — 4,1996,0,3572617,0
fem,0 — 4,1997,0,3369560,0
fem,0 — 4,1998,0,3259226,0
fem,0 — 4,1999,0,3175987,0
fem,0 — 4,2000,0,3093527,0
fem,0 — 4,2001,0,3038417,0
fem,0 — 4,2002,0,3068119,0
fem,0 — 4,2003,0,3134592,0
fem,0 — 4,2004,0,3227900,0
fem,0 — 4,2005,0,3323426,0
fem,0 — 4,2006,0,3470957,0
fem,0 — 4,2007,0,3568826,0
fem,0 — 4,2008,0,3682162,0
fem,0 — 4,2009,0,3806146,0
fem,0 — 4,2010,0,3870387,0
fem,0 — 4,2011,0,4002932,0
fem,0 — 4,2012,0,4155683,0
fem,0 — 4,2013,0,4279743,0
fem,0 — 4,2014,0,4329960,0
fem,0 — 4,2015,0,4504022,0
fem,0 — 4,2016,0,4623793,0
fem,0 — 4,2017,0,4658056,0
fem,0 — 4,2018,0,4544133,0
fem,05 — 09,1993,0,5960541,0
fem,05 — 09,1994,0,5863154,0
fem,05 — 09,1995,0,5703748,0
fem,05 — 09,1996,0,5435910,0
fem,05 — 09,1997,0,5051426,0
fem,05 — 09,1998,0,4606602,0
fem,05 — 09,1999,0,4200328,0
fem,05 — 09,2000,0,3873857,0
fem,05 — 09,2001,0,3571958,0
fem,05 — 09,2002,0,3361623,0
fem,05 — 09,2003,0,3267376,0
fem,05 — 09,2004,0,3182569,0
fem,05 — 09,2005,0,3103840,0
fem,05 — 09,2006,0,3123587,0
fem,05 — 09,2007,0,3138850,0
fem,05 — 09,2008,0,3202078,0
fem,05 — 09,2009,0,3296942,0
fem,05 — 09,2010,0,3354051,0
fem,05 — 09,2011,0,3509332,0
fem,05 — 09,2012,0,3588032,0
fem,05 — 09,2013,0,3686038,0
fem,05 — 09,2014,0,3740558,0
fem,05 — 09,2015,0,3906027,0
fem,05 — 09,2016,0,4006543,0
fem,05 — 09,2017,0,4169495,0
fem,05 — 09,2018,0,4320203,0
fem,10 — 14,1993,0,5550099,0
fem,10 — 14,1994,0,5700064,0
fem,10 — 14,1995,0,5814965,0
fem,10 — 14,1996,0,5926286,0
fem,10 — 14,1997,0,6029325,0
fem,10 — 14,1998,0,6031188,0
fem,10 — 14,1999,0,5921202,0
fem,10 — 14,2000,0,5743862,0
fem,10 — 14,2001,0,5426563,0
fem,10 — 14,2002,0,5034643,0
fem,10 — 14,2003,0,4692750,0
fem,10 — 14,2004,0,4267588,0
fem,10 — 14,2005,0,3913578,0
fem,10 — 14,2006,0,3685200,0
fem,10 — 14,2007,0,3466498,0
fem,10 — 14,2008,0,3337609,0
fem,10 — 14,2009,0,3255926,0
fem,10 — 14,2010,0,3208057,0
fem,10 — 14,2011,0,3211068,0
fem,10 — 14,2012,0,3231760,0
fem,10 — 14,2013,0,3293500,0
fem,10 — 14,2014,0,3325774,0
fem,10 — 14,2015,0,3474984,0
fem,10 — 14,2016,0,3541066,0
fem,10 — 14,2017,0,3617034,0
fem,10 — 14,2018,0,3708397,0
fem,15 — 19,1993,0,5198134,0
fem,15 — 19,1994,0,5270209,0
fem,15 — 19,1995,0,5335672,0
fem,15 — 19,1996,0,5385048,0
fem,15 — 19,1997,0,5458297,0
fem,15 — 19,1998,0,5594181,0
fem,15 — 19,1999,0,5737349,0
fem,15 — 19,2000,0,5841795,0
fem,15 — 19,2001,0,5908170,0
fem,15 — 19,2002,0,6001140,0
fem,15 — 19,2003,0,6181272,0
fem,15 — 19,2004,0,6041278,0
fem,15 — 19,2005,0,5846488,0
fem,15 — 19,2006,0,5620983,0
fem,15 — 19,2007,0,5218848,0
fem,15 — 19,2008,0,4767156,0
fem,15 — 19,2009,0,4345607,0
fem,15 — 19,2010,0,4157622,0
fem,15 — 19,2011,0,3885999,0
fem,15 — 19,2012,0,3615839,0
fem,15 — 19,2013,0,3445485,0
fem,15 — 19,2014,1,3395521,0
fem,15 — 19,2015,0,3332110,0
fem,15 — 19,2016,1,3287860,1
fem,15 — 19,2017,0,3271848,0
fem,15 — 19,2018,0,3331456,0
fem,20 — 24,1993,0,4734870,1
fem,20 — 24,1994,0,4855596,0
fem,20 — 24,1995,0,4986816,0
fem,20 — 24,1996,1,5093651,0
fem,20 — 24,1997,0,5168438,2
fem,20 — 24,1998,0,5229305,0
fem,20 — 24,1999,0,5291922,0
fem,20 — 24,2000,1,5347108,1
fem,20 — 24,2001,0,5361991,0
fem,20 — 24,2002,2,5424080,2
fem,20 — 24,2003,1,5760944,0
fem,20 — 24,2004,1,5930782,0
fem,20 — 24,2005,1,6045296,0
fem,20 — 24,2006,0,6198262,0
fem,20 — 24,2007,2,6283854,0
fem,20 — 24,2008,0,6257932,1
fem,20 — 24,2009,0,6127344,0
fem,20 — 24,2010,3,6044059,1
fem,20 — 24,2011,0,5837769,0
fem,20 — 24,2012,1,5515546,2
fem,20 — 24,2013,0,5109200,0
fem,20 — 24,2014,1,4888818,1
fem,20 — 24,2015,0,4549033,0
fem,20 — 24,2016,1,4137344,1
fem,20 — 24,2017,1,3834358,0
fem,20 — 24,2018,1,3591695,0
fem,25 — 29,1993,3,4889926,1
fem,25 — 29,1994,0,4718420,2
fem,25 — 29,1995,3,4645374,2
fem,25 — 29,1996,1,4639106,0
fem,25 — 29,1997,1,4697381,1
fem,25 — 29,1998,1,4797869,2
fem,25 — 29,1999,2,4909447,2
fem,25 — 29,2000,1,5022685,0
fem,25 — 29,2001,1,5098570,1
fem,25 — 29,2002,3,5157386,1
fem,25 — 29,2003,2,5311258,2
fem,25 — 29,2004,5,5375595,2
fem,25 — 29,2005,0,5439873,0
fem,25 — 29,2006,3,5559836,2
fem,25 — 29,2007,4,5659770,1
fem,25 — 29,2008,1,5827423,0
fem,25 — 29,2009,1,6011208,0
fem,25 — 29,2010,2,6098754,0
fem,25 — 29,2011,2,6058527,0
fem,25 — 29,2012,1,6179628,1
fem,25 — 29,2013,3,6215222,1
fem,25 — 29,2014,2,6202336,1
fem,25 — 29,2015,5,6240741,2
fem,25 — 29,2016,3,6123257,4
fem,25 — 29,2017,3,5844132,3
fem,25 — 29,2018,0,5462382,2
fem,30 — 34,1993,3,6285561,1
fem,30 — 34,1994,3,6081983,0
fem,30 — 34,1995,9,5802104,5
fem,30 — 34,1996,7,5489915,4
fem,30 — 34,1997,6,5198943,6
fem,30 — 34,1998,2,4946378,4
fem,30 — 34,1999,4,4761704,2
fem,30 — 34,2000,5,4671368,3
fem,30 — 34,2001,4,4634719,6
fem,30 — 34,2002,0,4681270,0
fem,30 — 34,2003,4,4946253,2
fem,30 — 34,2004,4,5032327,6
fem,30 — 34,2005,3,5112187,4
fem,30 — 34,2006,2,5224504,0
fem,30 — 34,2007,2,5284477,1
fem,30 — 34,2008,2,5351700,0
fem,30 — 34,2009,6,5429631,3
fem,30 — 34,2010,4,5457684,2
fem,30 — 34,2011,4,5579642,2
fem,30 — 34,2012,1,5647636,3
fem,30 — 34,2013,2,5769239,1
fem,30 — 34,2014,6,5840550,2
fem,30 — 34,2015,8,6049183,5
fem,30 — 34,2016,8,6116496,6
fem,30 — 34,2017,11,6267287,8
fem,30 — 34,2018,8,6365136,4
fem,35 — 39,1993,15,6324545,9
fem,35 — 39,1994,7,6406262,5
fem,35 — 39,1995,6,6448795,10
fem,35 — 39,1996,15,6482595,11
fem,35 — 39,1997,14,6448090,6
fem,35 — 39,1998,7,6322154,10
fem,35 — 39,1999,9,6105553,6
fem,35 — 39,2000,6,5808527,6
fem,35 — 39,2001,11,5462880,9
fem,35 — 39,2002,12,5161910,5
fem,35 — 39,2003,4,4985902,5
fem,35 — 39,2004,8,4810571,5
fem,35 — 39,2005,4,4745500,6
fem,35 — 39,2006,8,4792880,6
fem,35 — 39,2007,6,4862262,9
fem,35 — 39,2008,5,4963205,4
fem,35 — 39,2009,12,5060272,7
fem,35 — 39,2010,6,5117213,8
fem,35 — 39,2011,11,5266385,9
fem,35 — 39,2012,7,5331817,6
fem,35 — 39,2013,6,5390480,5
fem,35 — 39,2014,17,5428678,12
fem,35 — 39,2015,13,5557613,11
fem,35 — 39,2016,10,5653012,6
fem,35 — 39,2017,20,5689293,12
fem,35 — 39,2018,16,5789158,14
fem,40 — 44,1993,25,5763185,17
fem,40 — 44,1994,28,5899714,14
fem,40 — 44,1995,14,6013599,14
fem,40 — 44,1996,24,6124067,12
fem,40 — 44,1997,18,6209894,19
fem,40 — 44,1998,15,6318765,16
fem,40 — 44,1999,19,6390625,14
fem,40 — 44,2000,21,6420147,14
fem,40 — 44,2001,20,6418829,15
fem,40 — 44,2002,20,6373256,19
fem,40 — 44,2003,31,6313898,24
fem,40 — 44,2004,14,6107087,11
fem,40 — 44,2005,16,5805517,7
fem,40 — 44,2006,19,5521478,14
fem,40 — 44,2007,10,5225841,11
fem,40 — 44,2008,11,4972418,14
fem,40 — 44,2009,19,4807968,18
fem,40 — 44,2010,23,4749151,12
fem,40 — 44,2011,24,4787695,17
fem,40 — 44,2012,23,4861983,14
fem,40 — 44,2013,17,4967725,15
fem,40 — 44,2014,22,5016931,21
fem,40 — 44,2015,25,5213280,16
fem,40 — 44,2016,21,5282256,11
fem,40 — 44,2017,34,5373288,25
fem,40 — 44,2018,26,5412298,17
fem,45 — 49,1993,36,3509509,23
fem,45 — 49,1994,31,4179444,28
fem,45 — 49,1995,43,4845679,31
fem,45 — 49,1996,35,5266564,35
fem,45 — 49,1997,46,5511040,27
fem,45 — 49,1998,35,5712468,31
fem,45 — 49,1999,43,5843852,47
fem,45 — 49,2000,47,5947605,41
fem,45 — 49,2001,33,6025423,28
fem,45 — 49,2002,37,6097407,33
fem,45 — 49,2003,41,6176161,36
fem,45 — 49,2004,38,6243212,32
fem,45 — 49,2005,31,6290234,19
fem,45 — 49,2006,51,6374378,42
fem,45 — 49,2007,44,6350615,34
fem,45 — 49,2008,49,6247783,30
fem,45 — 49,2009,38,6055706,34
fem,45 — 49,2010,57,5938526,30
fem,45 — 49,2011,51,5427779,38
fem,45 — 49,2012,46,5151813,33
fem,45 — 49,2013,53,4921438,31
fem,45 — 49,2014,34,4822505,30
fem,45 — 49,2015,48,4788276,30
fem,45 — 49,2016,56,4804291,39
fem,45 — 49,2017,44,4840782,23
fem,45 — 49,2018,45,4953174,40
fem,50 — 54,1993,88,4549407,73
fem,50 — 54,1994,85,3756324,59
fem,50 — 54,1995,65,3131648,44
fem,50 — 54,1996,52,2844628,41
fem,50 — 54,1997,50,2978173,33
fem,50 — 54,1998,70,3443882,39
fem,50 — 54,1999,58,4102613,47
fem,50 — 54,2000,59,4750875,57
fem,50 — 54,2001,73,5139500,50
fem,50 — 54,2002,80,5363248,60
fem,50 — 54,2003,73,5548509,63
fem,50 — 54,2004,74,5655935,62
fem,50 — 54,2005,91,5737006,59
fem,50 — 54,2006,73,5857013,61
fem,50 — 54,2007,60,5941007,57
fem,50 — 54,2008,96,6045940,63
fem,50 — 54,2009,101,6126504,78
fem,50 — 54,2010,106,6139482,74
fem,50 — 54,2011,98,6251232,68
fem,50 — 54,2012,85,6219077,73
fem,50 — 54,2013,99,6105546,63
fem,50 — 54,2014,113,6029925,81
fem,50 — 54,2015,95,5899850,71
fem,50 — 54,2016,96,5575891,67
fem,50 — 54,2017,101,5289883,80
fem,50 — 54,2018,104,5028414,79
fem,55 — 59,1993,156,4750452,126
fem,55 — 59,1994,168,5164191,153
fem,55 — 59,1995,144,5411744,130
fem,55 — 59,1996,150,5425768,113
fem,55 — 59,1997,115,5094863,103
fem,55 — 59,1998,95,4400756,86
fem,55 — 59,1999,83,3633809,83
