Year,Incidence,Mortality,Population
1993,9219,9118,148145911
1994,8794,8811,147967813
1995,8250,8139,147773657
1996,8316,7976,147373009
1997,8183,7911,146938319
1998,8040,7804,146533492
1999,7844,7458,145943393
2000,7561,7233,145189166
2001,7478,7241,143769726
2002,7123,6901,142902927
2003,7462,6995,143452540
2004,7229,6857,142689830
2005,7084,6634,141961813
2006,7067,6511,142487270
2007,7153,6452,142114913
2008,7156,6396,141956419
2009,7144,6683,141909251
2010,7373,6481,141914509
2011,7390,6798,142960918
2012,7298,6496,142929016
2013,7403,6562,143507006
