Year,Sex,Population,Mortality,Incidence
1993,male,69528088,6746,6717
1994,male,69479594,6502,6367
1995,male,69387481,5998,6060
1996,male,69158893,6043,6236
1997,male,68926337,5974,6177
1998,male,68717053,5914,6058
1999,male,68405752,5592,5880
2000,male,67990345,5513,5699
2001,male,67256436,5458,5633
2002,male,66759903,5268,5373
2003,male,66719990,5382,5688
2004,male,66267308,5230,5526
2005,male,65827024,5112,5388
2006,male,66006270,5035,5407
2007,male,65783037,5024,5550
2008,male,65679359,5041,5600
2009,male,65640512,5224,5555
2010,male,65639380,5093,5671
2011,male,66113283,5300,5816
2012,male,66262945,5096,5705
2013,male,66450213,5242,5855
