Sex,Type,Age,Year,
male,incidence,age04,1993,0
male,incidence,age04,1994,0
male,incidence,age04,1995,0
male,incidence,age04,1996,0
male,incidence,age04,1997,0
male,incidence,age04,1998,0
male,incidence,age04,1999,0
male,incidence,age04,2000,0
male,incidence,age04,2001,0
male,incidence,age04,2002,0
male,incidence,age04,2003,0
male,incidence,age04,2004,0
male,incidence,age04,2005,0
male,incidence,age04,2006,0
male,incidence,age04,2007,0
male,incidence,age04,2008,0
male,incidence,age04,2009,0
male,incidence,age04,2010,0
male,incidence,age04,2011,0
male,incidence,age04,2012,0
male,incidence,age04,2013,0
male,incidence,age59,1993,0
male,incidence,age59,1994,0
male,incidence,age59,1995,0
male,incidence,age59,1996,0
male,incidence,age59,1997,0
male,incidence,age59,1998,0
male,incidence,age59,1999,0
male,incidence,age59,2000,0
male,incidence,age59,2001,0
male,incidence,age59,2002,0
male,incidence,age59,2003,0
male,incidence,age59,2004,0
male,incidence,age59,2005,0
male,incidence,age59,2006,0
male,incidence,age59,2007,0
male,incidence,age59,2008,0
male,incidence,age59,2009,0
male,incidence,age59,2010,0
male,incidence,age59,2011,0
male,incidence,age59,2012,0
male,incidence,age59,2013,0
male,incidence,age1014,1993,0
male,incidence,age1014,1994,0
male,incidence,age1014,1995,0
male,incidence,age1014,1996,0
male,incidence,age1014,1997,0
male,incidence,age1014,1998,0
male,incidence,age1014,1999,0
male,incidence,age1014,2000,0
male,incidence,age1014,2001,0
male,incidence,age1014,2002,0
male,incidence,age1014,2003,0
male,incidence,age1014,2004,0
male,incidence,age1014,2005,0
male,incidence,age1014,2006,0
male,incidence,age1014,2007,0
male,incidence,age1014,2008,0
male,incidence,age1014,2009,0
male,incidence,age1014,2010,0
male,incidence,age1014,2011,0
male,incidence,age1014,2012,0
male,incidence,age1014,2013,0
male,incidence,age1519,1993,0
male,incidence,age1519,1994,0
male,incidence,age1519,1995,0
male,incidence,age1519,1996,0
male,incidence,age1519,1997,0
male,incidence,age1519,1998,0
male,incidence,age1519,1999,0
male,incidence,age1519,2000,0
male,incidence,age1519,2001,0
male,incidence,age1519,2002,0
male,incidence,age1519,2003,0
male,incidence,age1519,2004,0
male,incidence,age1519,2005,0
male,incidence,age1519,2006,0
male,incidence,age1519,2007,0
male,incidence,age1519,2008,0
male,incidence,age1519,2009,0
male,incidence,age1519,2010,0
male,incidence,age1519,2011,0
male,incidence,age1519,2012,0
male,incidence,age1519,2013,0
male,incidence,age2024,1993,1
male,incidence,age2024,1994,5
male,incidence,age2024,1995,0
male,incidence,age2024,1996,4
male,incidence,age2024,1997,3
male,incidence,age2024,1998,0
male,incidence,age2024,1999,0
male,incidence,age2024,2000,2
male,incidence,age2024,2001,2
male,incidence,age2024,2002,0
male,incidence,age2024,2003,0
male,incidence,age2024,2004,3
male,incidence,age2024,2005,0
male,incidence,age2024,2006,2
male,incidence,age2024,2007,1
male,incidence,age2024,2008,1
male,incidence,age2024,2009,1
male,incidence,age2024,2010,1
male,incidence,age2024,2011,1
male,incidence,age2024,2012,3
male,incidence,age2024,2013,1
male,incidence,age2529,1993,10
male,incidence,age2529,1994,5
male,incidence,age2529,1995,0
male,incidence,age2529,1996,5
male,incidence,age2529,1997,9
male,incidence,age2529,1998,4
male,incidence,age2529,1999,5
male,incidence,age2529,2000,4
male,incidence,age2529,2001,1
male,incidence,age2529,2002,4
male,incidence,age2529,2003,2
male,incidence,age2529,2004,4
male,incidence,age2529,2005,3
male,incidence,age2529,2006,2
male,incidence,age2529,2007,4
male,incidence,age2529,2008,4
male,incidence,age2529,2009,2
male,incidence,age2529,2010,5
male,incidence,age2529,2011,6
male,incidence,age2529,2012,0
male,incidence,age2529,2013,1
male,incidence,age3034,1993,12
male,incidence,age3034,1994,8
male,incidence,age3034,1995,17
male,incidence,age3034,1996,13
male,incidence,age3034,1997,19
male,incidence,age3034,1998,8
male,incidence,age3034,1999,5
male,incidence,age3034,2000,5
male,incidence,age3034,2001,7
male,incidence,age3034,2002,11
male,incidence,age3034,2003,7
male,incidence,age3034,2004,8
male,incidence,age3034,2005,5
male,incidence,age3034,2006,7
male,incidence,age3034,2007,9
male,incidence,age3034,2008,7
male,incidence,age3034,2009,9
male,incidence,age3034,2010,6
male,incidence,age3034,2011,6
male,incidence,age3034,2012,4
male,incidence,age3034,2013,11
male,incidence,age3539,1993,41
male,incidence,age3539,1994,39
male,incidence,age3539,1995,38
male,incidence,age3539,1996,35
male,incidence,age3539,1997,54
male,incidence,age3539,1998,25
male,incidence,age3539,1999,25
male,incidence,age3539,2000,25
male,incidence,age3539,2001,30
male,incidence,age3539,2002,27
male,incidence,age3539,2003,17
male,incidence,age3539,2004,22
male,incidence,age3539,2005,14
male,incidence,age3539,2006,18
male,incidence,age3539,2007,30
male,incidence,age3539,2008,24
male,incidence,age3539,2009,12
male,incidence,age3539,2010,38
male,incidence,age3539,2011,46
male,incidence,age3539,2012,29
male,incidence,age3539,2013,38
male,incidence,age4044,1993,210
male,incidence,age4044,1994,163
male,incidence,age4044,1995,158
male,incidence,age4044,1996,149
male,incidence,age4044,1997,146
male,incidence,age4044,1998,126
male,incidence,age4044,1999,106
male,incidence,age4044,2000,134
male,incidence,age4044,2001,107
male,incidence,age4044,2002,88
male,incidence,age4044,2003,110
male,incidence,age4044,2004,83
male,incidence,age4044,2005,81
male,incidence,age4044,2006,71
male,incidence,age4044,2007,112
male,incidence,age4044,2008,83
male,incidence,age4044,2009,70
male,incidence,age4044,2010,72
male,incidence,age4044,2011,76
