,,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января,23110000100030200003 Численность постоянного населения - мужчин по возрасту на 1 января
,,134 0-4 года,135 5-9 лет,136 10-14 лет,138 15-19 лет,140 50-54 лет,141 55-59 лет,142 60-64 лет,143 65-69 лет,144 70-74 лет,145 75-79 лет,146 80-84 года,147 85-89 лет,148 90-94 года,149 95-99 лет,185 20-24 лет,186 25-29 лет,187 30-34 лет,188 35-39 лет,189 40-44 лет,190 45-49 лет
все население,w2:p_mest:11,,,,,,,,,,,,,,,,,,,,
Российская Федерация,643,,,,,,,,,,,,,,,,,,,,
январь 2014 г.,,4569189,3921555,3496772,3559891,"5154297,99",4649661,3686287,2035610,1556336,1369864,666428,306976,"56146,99",9846,5082059,6320134,5820078,5185157,4733594,"4364323,99"
январь 2015 г.,,4758296,4097859,3651092,3496839,5057055,4773461,3814403,2478849,1318548,1508547,647410,333068,68211,"10728,99",4743897,6379672,6043247,5326781,4908796,4351848
январь 2016 г.,,4887993,4211668,3712709,3443026,4780600,4900632,3887444,2799845,1156592,1541511,647705,360118,80171,13023,4307642,6288406,6102791,5444921,4937356,4388816
январь 2017 г.,,4923684,4389167,3791237,3418141,4545011,4947111,3963518,2942496,1193965,1514304,"691620,99","359202,99",95819,"15475,99",3993373,6034298,6270161,5505186,5007750,4438688
январь 2018 г.,,4802893,4552880,3889114,3484480,4343928,4912848,4055180,3054010,1391573,"1332969,99",783134,"357310,99","111136,99","18453,99",3744119,5657478,6400512,5635600,5041161,4546390
январь 2019 г.,,4644956,4664469,4004769,3552070,4192011,4824036,4173981,3144349,1644926,1121922,869484,337853,"123933,99","22617,99",3627097,"5214082,99",6385234,5805924,5110238,4626578
январь 2020 г.,,4412117,4782128,4120650,3661516,4125650,4673478,4232955,3211533,1967561,"939955,99",943388,331184,131778,28583,3508370,"4828700,99",6357029,5952019,5177694,4729774
