Sex,Type,Age,Year,
male,mortality,age04,1993,0
male,mortality,age04,1994,0
male,mortality,age04,1995,0
male,mortality,age04,1996,0
male,mortality,age04,1997,0
male,mortality,age04,1998,0
male,mortality,age04,1999,0
male,mortality,age04,2000,0
male,mortality,age04,2001,0
male,mortality,age04,2002,0
male,mortality,age04,2003,0
male,mortality,age04,2004,0
male,mortality,age04,2005,0
male,mortality,age04,2006,0
male,mortality,age04,2007,0
male,mortality,age04,2008,0
male,mortality,age04,2009,0
male,mortality,age04,2010,0
male,mortality,age04,2011,0
male,mortality,age04,2012,0
male,mortality,age04,2013,0
male,mortality,age59,1993,0
male,mortality,age59,1994,0
male,mortality,age59,1995,0
male,mortality,age59,1996,0
male,mortality,age59,1997,0
male,mortality,age59,1998,0
male,mortality,age59,1999,0
male,mortality,age59,2000,0
male,mortality,age59,2001,0
male,mortality,age59,2002,0
male,mortality,age59,2003,0
male,mortality,age59,2004,0
male,mortality,age59,2005,0
male,mortality,age59,2006,0
male,mortality,age59,2007,0
male,mortality,age59,2008,0
male,mortality,age59,2009,0
male,mortality,age59,2010,0
male,mortality,age59,2011,0
male,mortality,age59,2012,0
male,mortality,age59,2013,0
male,mortality,age1014,1993,0
male,mortality,age1014,1994,0
male,mortality,age1014,1995,0
male,mortality,age1014,1996,0
male,mortality,age1014,1997,0
male,mortality,age1014,1998,0
male,mortality,age1014,1999,0
male,mortality,age1014,2000,0
male,mortality,age1014,2001,0
male,mortality,age1014,2002,0
male,mortality,age1014,2003,0
male,mortality,age1014,2004,0
male,mortality,age1014,2005,0
male,mortality,age1014,2006,0
male,mortality,age1014,2007,0
male,mortality,age1014,2008,0
male,mortality,age1014,2009,0
male,mortality,age1014,2010,0
male,mortality,age1014,2011,0
male,mortality,age1014,2012,0
male,mortality,age1014,2013,0
male,mortality,age1519,1993,0
male,mortality,age1519,1994,0
male,mortality,age1519,1995,0
male,mortality,age1519,1996,0
male,mortality,age1519,1997,0
male,mortality,age1519,1998,0
male,mortality,age1519,1999,0
male,mortality,age1519,2000,0
male,mortality,age1519,2001,0
male,mortality,age1519,2002,0
male,mortality,age1519,2003,0
male,mortality,age1519,2004,0
male,mortality,age1519,2005,0
male,mortality,age1519,2006,0
male,mortality,age1519,2007,0
male,mortality,age1519,2008,0
male,mortality,age1519,2009,0
male,mortality,age1519,2010,0
male,mortality,age1519,2011,0
male,mortality,age1519,2012,0
male,mortality,age1519,2013,0
male,mortality,age2024,1993,0
male,mortality,age2024,1994,1
male,mortality,age2024,1995,1
male,mortality,age2024,1996,0
male,mortality,age2024,1997,4
male,mortality,age2024,1998,0
