Sex,Type,Age,Year,
fem,population,age04,1993,4534755
fem,population,age04,1994,4147028
fem,population,age04,1995,3839139
fem,population,age04,1996,3572617
fem,population,age04,1997,3369560
fem,population,age04,1998,3259226
fem,population,age04,1999,3175987
fem,population,age04,2000,3093527
fem,population,age04,2001,3038417
fem,population,age04,2002,3068119
fem,population,age04,2003,3134592
fem,population,age04,2004,3227900
fem,population,age04,2005,3323426
fem,population,age04,2006,3470957
fem,population,age04,2007,3568826
fem,population,age04,2008,3682162
fem,population,age04,2009,3806146
fem,population,age04,2010,3870387
fem,population,age04,2011,4002932
fem,population,age04,2012,4155683
fem,population,age04,2013,4279743
fem,population,age59,1993,5960541
fem,population,age59,1994,5863154
fem,population,age59,1995,5703748
fem,population,age59,1996,5435910
fem,population,age59,1997,5051426
fem,population,age59,1998,4606602
fem,population,age59,1999,4200328
fem,population,age59,2000,3873857
fem,population,age59,2001,3571958
fem,population,age59,2002,3361623
fem,population,age59,2003,3267376
fem,population,age59,2004,3182569
fem,population,age59,2005,3103840
fem,population,age59,2006,3123587
fem,population,age59,2007,3138850
fem,population,age59,2008,3202078
fem,population,age59,2009,3296942
fem,population,age59,2010,3354051
fem,population,age59,2011,3509332
fem,population,age59,2012,3588032
fem,population,age59,2013,3686038
fem,population,age1014,1993,5550099
fem,population,age1014,1994,5700064
fem,population,age1014,1995,5814965
fem,population,age1014,1996,5926286
fem,population,age1014,1997,6029325
fem,population,age1014,1998,6031188
fem,population,age1014,1999,5921202
fem,population,age1014,2000,5743862
fem,population,age1014,2001,5426563
fem,population,age1014,2002,5034643
fem,population,age1014,2003,4692750
fem,population,age1014,2004,4267588
fem,population,age1014,2005,3913578
fem,population,age1014,2006,3685200
fem,population,age1014,2007,3466498
fem,population,age1014,2008,3337609
fem,population,age1014,2009,3255926
fem,population,age1014,2010,3208057
fem,population,age1014,2011,3211068
fem,population,age1014,2012,3231760
fem,population,age1014,2013,3293500
fem,population,age1519,1993,5198134
fem,population,age1519,1994,5270209
fem,population,age1519,1995,5335672
fem,population,age1519,1996,5385048
fem,population,age1519,1997,5458297
fem,population,age1519,1998,5594181
fem,population,age1519,1999,5737349
fem,population,age1519,2000,5841795
fem,population,age1519,2001,5908170
fem,population,age1519,2002,6001140
fem,population,age1519,2003,6181272
fem,population,age1519,2004,6041278
fem,population,age1519,2005,5846488
fem,population,age1519,2006,5620983
fem,population,age1519,2007,5218848
fem,population,age1519,2008,4767156
fem,population,age1519,2009,4345607
fem,population,age1519,2010,4157622
fem,population,age1519,2011,3885999
fem,population,age1519,2012,3615839
fem,population,age1519,2013,3445485
fem,population,age2024,1993,4734870
fem,population,age2024,1994,4855596
fem,population,age2024,1995,4986816
fem,population,age2024,1996,5093651
fem,population,age2024,1997,5168438
fem,population,age2024,1998,5229305
fem,population,age2024,1999,5291922
fem,population,age2024,2000,5347108
fem,population,age2024,2001,5361991
fem,population,age2024,2002,5424080
fem,population,age2024,2003,5760944
fem,population,age2024,2004,5930782
fem,population,age2024,2005,6045296
fem,population,age2024,2006,6198262
fem,population,age2024,2007,6283854
fem,population,age2024,2008,6257932
fem,population,age2024,2009,6127344
fem,population,age2024,2010,6044059
fem,population,age2024,2011,5837769
fem,population,age2024,2012,5515546
fem,population,age2024,2013,5109200
fem,population,age2529,1993,4889926
fem,population,age2529,1994,4718420
fem,population,age2529,1995,4645374
fem,population,age2529,1996,4639106
fem,population,age2529,1997,4697381
fem,population,age2529,1998,4797869
fem,population,age2529,1999,4909447
fem,population,age2529,2000,5022685
fem,population,age2529,2001,5098570
fem,population,age2529,2002,5157386
fem,population,age2529,2003,5311258
fem,population,age2529,2004,5375595
fem,population,age2529,2005,5439873
fem,population,age2529,2006,5559836
fem,population,age2529,2007,5659770
fem,population,age2529,2008,5827423
fem,population,age2529,2009,6011208
fem,population,age2529,2010,6098754
fem,population,age2529,2011,6058527
fem,population,age2529,2012,6179628
fem,population,age2529,2013,6215222
fem,population,age3034,1993,6285561
fem,population,age3034,1994,6081983
fem,population,age3034,1995,5802104
fem,population,age3034,1996,5489915
fem,population,age3034,1997,5198943
fem,population,age3034,1998,4946378
fem,population,age3034,1999,4761704
fem,population,age3034,2000,4671368
fem,population,age3034,2001,4634719
fem,population,age3034,2002,4681270
fem,population,age3034,2003,4946253
fem,population,age3034,2004,5032327
fem,population,age3034,2005,5112187
fem,population,age3034,2006,5224504
fem,population,age3034,2007,5284477
fem,population,age3034,2008,5351700
fem,population,age3034,2009,5429631
fem,population,age3034,2010,5457684
fem,population,age3034,2011,5579642
fem,population,age3034,2012,5647636
fem,population,age3034,2013,5769239
fem,population,age3539,1993,6324545
fem,population,age3539,1994,6406262
fem,population,age3539,1995,6448795
fem,population,age3539,1996,6482595
fem,population,age3539,1997,6448090
fem,population,age3539,1998,6322154
fem,population,age3539,1999,6105553
fem,population,age3539,2000,5808527
fem,population,age3539,2001,5462880
fem,population,age3539,2002,5161910
fem,population,age3539,2003,4985902
