Sex,Type,Age,Year,
male,population,age04,1993,4765198
male,population,age04,1994,4369440
male,population,age04,1995,4047325
male,population,age04,1996,3765155
male,population,age04,1997,3550013
male,population,age04,1998,3431484
male,population,age04,1999,3345256
male,population,age04,2000,3263077
male,population,age04,2001,3209804
male,population,age04,2002,3243908
male,population,age04,2003,3298080
male,population,age04,2004,3399967
male,population,age04,2005,3502489
male,population,age04,2006,3658850
male,population,age04,2007,3767123
male,population,age04,2008,3888308
male,population,age04,2009,4017672
male,population,age04,2010,4085316
male,population,age04,2011,4212100
male,population,age04,2012,4377528
male,population,age04,2013,4513291
male,population,age59,1993,6181399
male,population,age59,1994,6096195
male,population,age59,1995,5949649
male,population,age59,1996,5684430
male,population,age59,1997,5295250
male,population,age59,1998,4843320
male,population,age59,1999,4423897
male,population,age59,2000,4077714
male,population,age59,2001,3759301
male,population,age59,2002,3536490
male,population,age59,2003,3422357
male,population,age59,2004,3334676
male,population,age59,2005,3254903
male,population,age59,2006,3273099
male,population,age59,2007,3289584
male,population,age59,2008,3360294
male,population,age59,2009,3465122
male,population,age59,2010,3526812
male,population,age59,2011,3679607
male,population,age59,2012,3762805
male,population,age59,2013,3865465
male,population,age1014,1993,5719732
male,population,age1014,1994,5880698
male,population,age1014,1995,6007464
male,population,age1014,1996,6129435
male,population,age1014,1997,6243125
male,population,age1014,1998,6253830
male,population,age1014,1999,6152074
male,population,age1014,2000,5983149
male,population,age1014,2001,5669579
male,population,age1014,2002,5273584
male,population,age1014,2003,4906024
male,population,age1014,2004,4466024
male,population,age1014,2005,4095773
male,population,age1014,2006,3850888
male,population,age1014,2007,3621800
male,population,age1014,2008,3487875
male,population,age1014,2009,3404713
male,population,age1014,2010,3355989
male,population,age1014,2011,3373146
male,population,age1014,2012,3396364
male,population,age1014,2013,3462421
male,population,age1519,1993,5334736
male,population,age1519,1994,5420061
male,population,age1519,1995,5493675
male,population,age1519,1996,5538923
male,population,age1519,1997,5610759
male,population,age1519,1998,5752116
male,population,age1519,1999,5903004
male,population,age1519,2000,6015926
male,population,age1519,2001,6093644
male,population,age1519,2002,6198969
male,population,age1519,2003,6384237
male,population,age1519,2004,6243875
male,population,age1519,2005,6053586
male,population,age1519,2006,5835459
male,population,age1519,2007,5428425
male,population,age1519,2008,4966747
male,population,age1519,2009,4532696
male,population,age1519,2010,4338040
male,population,age1519,2011,4048449
male,population,age1519,2012,3776022
male,population,age1519,2013,3608296
male,population,age2024,1993,5081182
male,population,age2024,1994,5188129
male,population,age2024,1995,5254686
male,population,age2024,1996,5303123
male,population,age2024,1997,5333224
male,population,age2024,1998,5359978
male,population,age2024,1999,5403032
male,population,age2024,2000,5446421
male,population,age2024,2001,5454000
male,population,age2024,2002,5515783
male,population,age2024,2003,5871775
male,population,age2024,2004,6054924
male,population,age2024,2005,6174825
male,population,age2024,2006,6339471
male,population,age2024,2007,6433704
male,population,age2024,2008,6410352
male,population,age2024,2009,6286997
male,population,age2024,2010,6212084
male,population,age2024,2011,6022390
male,population,age2024,2012,5708195
male,population,age2024,2013,5300630
male,population,age2529,1993,4996908
male,population,age2529,1994,4864378
male,population,age2529,1995,4872946
male,population,age2529,1996,4929968
male,population,age2529,1997,5031986
male,population,age2529,1998,5154364
male,population,age2529,1999,5223463
male,population,age2529,2000,5240527
male,population,age2529,2001,5231952
male,population,age2529,2002,5230449
male,population,age2529,2003,5322196
male,population,age2529,2004,5376557
male,population,age2529,2005,5434704
male,population,age2529,2006,5547352
male,population,age2529,2007,5660255
male,population,age2529,2008,5856723
male,population,age2529,2009,6063965
male,population,age2529,2010,6158595
male,population,age2529,2011,6111524
male,population,age2529,2012,6262376
male,population,age2529,2013,6323820
male,population,age3034,1993,6363718
male,population,age3034,1994,6161664
male,population,age3034,1995,5885518
male,population,age3034,1996,5565658
male,population,age3034,1997,5257446
male,population,age3034,1998,4993501
male,population,age3034,1999,4839812
male,population,age3034,2000,4819001
male,population,age3034,2001,4846092
male,population,age3034,2002,4925837
male,population,age3034,2003,4938438
male,population,age3034,2004,5009583
male,population,age3034,2005,5065471
male,population,age3034,2006,5144043
male,population,age3034,2007,5183021
male,population,age3034,2008,5234654
male,population,age3034,2009,5309762
male,population,age3034,2010,5341307
male,population,age3034,2011,5486677
male,population,age3034,2012,5583513
male,population,age3034,2013,5734091
male,population,age3539,1993,6271523
male,population,age3539,1994,6347427
male,population,age3539,1995,6380945
male,population,age3539,1996,6404641
male,population,age3539,1997,6371358
male,population,age3539,1998,6249352
male,population,age3539,1999,6036862
male,population,age3539,2000,5746038
male,population,age3539,2001,5405921
male,population,age3539,2002,5088978
male,population,age3539,2003,4829501
male,population,age3539,2004,4655536
male,population,age3539,2005,4596731
male,population,age3539,2006,4645260
male,population,age3539,2007,4718551
male,population,age3539,2008,4814722
male,population,age3539,2009,4900871
male,population,age3539,2010,4951679
male,population,age3539,2011,5029273
male,population,age3539,2012,5087564
male,population,age3539,2013,5145843
male,population,age4044,1993,5582556
male,population,age4044,1994,5696677
male,population,age4044,1995,5785316
male,population,age4044,1996,5869956
male,population,age4044,1997,5944718
male,population,age4044,1998,6046292
male,population,age4044,1999,6112856
male,population,age4044,2000,6133058
male,population,age4044,2001,6127602
male,population,age4044,2002,6073825
male,population,age4044,2003,5937561
male,population,age4044,2004,5730201
male,population,age4044,2005,5425235
male,population,age4044,2006,5137054
male,population,age4044,2007,4860050
male,population,age4044,2008,4630085
male,population,age4044,2009,4489162
male,population,age4044,2010,4444165
male,population,age4044,2011,4507655
male,population,age4044,2012,4589503
male,population,age4044,2013,4689062
male,population,age4549,1993,3288501
male,population,age4549,1994,3901547
male,population,age4549,1995,4499834
male,population,age4549,1996,4870761
male,population,age4549,1997,5083106
male,population,age4549,1998,5257354
male,population,age4549,1999,5366036
male,population,age4549,2000,5443706
male,population,age4549,2001,5498771
male,population,age4549,2002,5547421
male,population,age4549,2003,5531272
male,population,age4549,2004,5571874
male,population,age4549,2005,5609321
male,population,age4549,2006,5685938
male,population,age4549,2007,5660133
male,population,age4549,2008,5570736
male,population,age4549,2009,5409116
male,population,age4549,2010,5308734
male,population,age4549,2011,4864341
male,population,age4549,2012,4632279
male,population,age4549,2013,4444476
male,population,age5054,1993,3881094
male,population,age5054,1994,3198503
male,population,age5054,1995,2667863
male,population,age5054,1996,2441528
male,population,age5054,1997,2590651
male,population,age5054,1998,3012070
male,population,age5054,1999,3578859
male,population,age5054,2000,4124549
male,population,age5054,2001,4444127
male,population,age5054,2002,4610311
male,population,age5054,2003,4709012
male,population,age5054,2004,4763366
male,population,age5054,2005,4793794
male,population,age5054,2006,4868054
male,population,age5054,2007,4935139
male,population,age5054,2008,5026432
male,population,age5054,2009,5102408
male,population,age5054,2010,5121251
male,population,age5054,2011,5283641
male,population,age5054,2012,5279361
male,population,age5054,2013,5204737
male,population,age5559,1993,3857255
male,population,age5559,1994,4151589
male,population,age5559,1995,4296680
male,population,age5559,1996,4260579
male,population,age5559,1997,3962823
male,population,age5559,1998,3401968
male,population,age5559,1999,2807088
male,population,age5559,2000,2343908
male,population,age5559,2001,2146333
male,population,age5559,2002,2274757
male,population,age5559,2003,2622745
male,population,age5559,2004,3089561
male,population,age5559,2005,3549614
male,population,age5559,2006,3843018
male,population,age5559,2007,4000921
male,population,age5559,2008,4125582
male,population,age5559,2009,4204735
male,population,age5559,2010,4235095
male,population,age5559,2011,4402542
male,population,age5559,2012,4480858
male,population,age5559,2013,4587152
male,population,age6064,1993,3377445
male,population,age6064,1994,3097324
male,population,age6064,1995,2909878
male,population,age6064,1996,2882629
male,population,age6064,1997,3005906
male,population,age6064,1998,3249308
male,population,age6064,1999,3506323
male,population,age6064,2000,3626026
male,population,age6064,2001,3570708
male,population,age6064,2002,3289283
male,population,age6064,2003,2840853
male,population,age6064,2004,2320717
male,population,age6064,2005,1924755
male,population,age6064,2006,1773963
male,population,age6064,2007,1894077
male,population,age6064,2008,2196722
male,population,age6064,2009,2605097
male,population,age6064,2010,2833901
male,population,age6064,2011,3382732
male,population,age6064,2012,3523994
male,population,age6064,2013,3635352
male,population,age6569,1993,2496999
male,population,age6569,1994,2722555
male,population,age6569,1995,2859230
male,population,age6569,1996,2881608
male,population,age6569,1997,2800402
male,population,age6569,1998,2636387
male,population,age6569,1999,2423364
male,population,age6569,2000,2284098
male,population,age6569,2001,2260074
male,population,age6569,2002,2350314
male,population,age6569,2003,2558274
male,population,age6569,2004,2741247
male,population,age6569,2005,2830491
male,population,age6569,2006,2805793
male,population,age6569,2007,2597674
male,population,age6569,2008,2219267
male,population,age6569,2009,1826881
male,population,age6569,2010,1644173
male,population,age6569,2011,1473505
male,population,age6569,2012,1602836
male,population,age6569,2013,1877878
male,population,age7074,1993,1015563
male,population,age7074,1994,1092084
male,population,age7074,1995,1209717
male,population,age7074,1996,1381256
male,population,age7074,1997,1599368
male,population,age7074,1998,1809593
male,population,age7074,1999,1968872
male,population,age7074,2000,2058758
male,population,age7074,2001,2053418
male,population,age7074,2002,1977736
male,population,age7074,2003,1898981
male,population,age7074,2004,1738722
male,population,age7074,2005,1636508
male,population,age7074,2006,1631379
male,population,age7074,2007,1716807
male,population,age7074,2008,1861634
male,population,age7074,2009,2008528
male,population,age7074,2010,2075235
male,population,age7074,2011,2142250
male,population,age7074,2012,1989729
male,population,age7074,2013,1708215
male,population,age7579,1993,675798
male,population,age7579,1994,637575
male,population,age7579,1995,609267
male,population,age7579,1996,607038
male,population,age7579,1997,622053
male,population,age7579,1998,656286
male,population,age7579,1999,713392
male,population,age7579,2000,787799
male,population,age7579,2001,894021
male,population,age7579,2002,1027948
male,population,age7579,2003,1128810
male,population,age7579,2004,1222623
male,population,age7579,2005,1286956
male,population,age7579,2006,1308578
male,population,age7579,2007,1276123
male,population,age7579,2008,1205604
male,population,age7579,2009,1117140
male,population,age7579,2010,1080449
male,population,age7579,2011,1093467
male,population,age7579,2012,1179475
male,population,age7579,2013,1305068
male,population,age8084,1993,448286
male,population,age8084,1994,455540
male,population,age8084,1995,447604
male,population,age8084,1996,418593
male,population,age8084,1997,386463
male,population,age8084,1998,358727
male,population,age8084,1999,340138
male,population,age8084,2000,331775
male,population,age8084,2001,332980
male,population,age8084,2002,337774
male,population,age8084,2003,336677
male,population,age8084,2004,364555
male,population,age8084,2005,409641
male,population,age8084,2006,472034
male,population,age8084,2007,546725
male,population,age8084,2008,617537
male,population,age8084,2009,668637
male,population,age8084,2010,686972
male,population,age8084,2011,732688
male,population,age8084,2012,722150
male,population,age8084,2013,690463
male,population,age85,1993,190195
male,population,age85,1994,198208
male,population,age85,1995,209884
male,population,age85,1996,223612
male,population,age85,1997,237686
male,population,age85,1998,251123
male,population,age85,1999,261424
male,population,age85,2000,264815
male,population,age85,2001,258109
male,population,age85,2002,256536
male,population,age85,2003,183197
male,population,age85,2004,183300
male,population,age85,2005,182227
male,population,age85,2006,186037
male,population,age85,2007,192925
male,population,age85,2008,206085
male,population,age85,2009,227010
male,population,age85,2010,239583
male,population,age85,2011,267296
male,population,age85,2012,308393
male,population,age85,2013,353953
